deck_id,card_id
1496,26000000
1507,26000000
1514,26000000
1518,26000000
1532,26000000
1533,26000000
1538,26000000
1550,26000000
1556,26000000
1558,26000000
1572,26000000
1589,26000000
1596,26000000
1602,26000000
1614,26000000
1617,26000000
1629,26000000
1643,26000000
1644,26000000
1661,26000000
1673,26000000
1675,26000000
1678,26000000
1681,26000000
1687,26000000
1694,26000000
1695,26000000
1700,26000000
1705,26000000
1707,26000000
1710,26000000
1719,26000000
1723,26000000
1724,26000000
1725,26000000
1731,26000000
1747,26000000
1751,26000000
1754,26000000
1763,26000000
1767,26000000
1771,26000000
1773,26000000
1778,26000000
1780,26000000
1782,26000000
1794,26000000
1817,26000000
1825,26000000
1830,26000000
1835,26000000
1843,26000000
1851,26000000
1865,26000000
1878,26000000
1881,26000000
1889,26000000
1902,26000000
1920,26000000
1924,26000000
1926,26000000
1931,26000000
1940,26000000
1955,26000000
1956,26000000
1957,26000000
1958,26000000
1963,26000000
1964,26000000
1967,26000000
1977,26000000
1979,26000000
1984,26000000
1987,26000000
1993,26000000
2016,26000000
2025,26000000
2026,26000000
2029,26000000
2035,26000000
2039,26000000
2054,26000000
2057,26000000
2059,26000000
2093,26000000
2096,26000000
2101,26000000
2105,26000000
2107,26000000
2111,26000000
2114,26000000
2117,26000000
2127,26000000
2128,26000000
2131,26000000
2133,26000000
2140,26000000
2146,26000000
2147,26000000
2148,26000000
2150,26000000
2164,26000000
2167,26000000
2171,26000000
2177,26000000
2207,26000000
2211,26000000
2212,26000000
2229,26000000
2240,26000000
2241,26000000
2242,26000000
2246,26000000
2251,26000000
2252,26000000
2266,26000000
2273,26000000
2280,26000000
2282,26000000
2295,26000000
2298,26000000
2307,26000000
2310,26000000
2317,26000000
2321,26000000
2344,26000000
2350,26000000
2356,26000000
2371,26000000
2373,26000000
2374,26000000
2376,26000000
2379,26000000
2402,26000000
2406,26000000
2412,26000000
2440,26000000
2447,26000000
2488,26000000
2490,26000000
2495,26000000
2515,26000000
2516,26000000
2526,26000000
2535,26000000
2539,26000000
2550,26000000
2560,26000000
2571,26000000
2578,26000000
2583,26000000
2584,26000000
2585,26000000
2587,26000000
2589,26000000
2594,26000000
2599,26000000
2605,26000000
2625,26000000
2629,26000000
2643,26000000
2644,26000000
2673,26000000
2675,26000000
2681,26000000
2685,26000000
2687,26000000
2696,26000000
2704,26000000
2706,26000000
2713,26000000
2717,26000000
2732,26000000
2739,26000000
2766,26000000
2770,26000000
2805,26000000
2806,26000000
2807,26000000
2809,26000000
2816,26000000
2818,26000000
2833,26000000
2837,26000000
2847,26000000
2848,26000000
2850,26000000
2854,26000000
2864,26000000
2872,26000000
2878,26000000
2884,26000000
2887,26000000
2893,26000000
2903,26000000
2904,26000000
2905,26000000
2909,26000000
2913,26000000
2921,26000000
2927,26000000
2929,26000000
2932,26000000
2934,26000000
2936,26000000
2942,26000000
2947,26000000
2950,26000000
2951,26000000
2956,26000000
2960,26000000
2962,26000000
2966,26000000
2981,26000000
2984,26000000
2986,26000000
2987,26000000
2996,26000000
2999,26000000
3000,26000000
3005,26000000
3012,26000000
3022,26000000
3026,26000000
3028,26000000
3030,26000000
3034,26000000
3053,26000000
3057,26000000
3059,26000000
3066,26000000
3069,26000000
3071,26000000
3090,26000000
3099,26000000
3122,26000000
3130,26000000
3135,26000000
3141,26000000
3145,26000000
3147,26000000
3149,26000000
3162,26000000
3164,26000000
3178,26000000
3188,26000000
3199,26000000
3204,26000000
3206,26000000
3213,26000000
3230,26000000
3241,26000000
3249,26000000
3252,26000000
3260,26000000
3262,26000000
3266,26000000
3273,26000000
3285,26000000
3289,26000000
3294,26000000
3303,26000000
3306,26000000
3309,26000000
3311,26000000
3321,26000000
3336,26000000
3346,26000000
3352,26000000
3377,26000000
3385,26000000
3388,26000000
3391,26000000
3392,26000000
3393,26000000
3394,26000000
3395,26000000
3404,26000000
3406,26000000
3414,26000000
3423,26000000
3427,26000000
3431,26000000
3435,26000000
3436,26000000
3437,26000000
3439,26000000
3456,26000000
3459,26000000
3470,26000000
3471,26000000
3477,26000000
3480,26000000
3482,26000000
3490,26000000
3498,26000000
3508,26000000
3511,26000000
3514,26000000
3517,26000000
3521,26000000
3522,26000000
3531,26000000
3534,26000000
3535,26000000
3553,26000000
3555,26000000
3558,26000000
3575,26000000
3576,26000000
3578,26000000
3579,26000000
3584,26000000
3585,26000000
3608,26000000
3612,26000000
3620,26000000
3633,26000000
3635,26000000
3641,26000000
3649,26000000
3655,26000000
3661,26000000
3680,26000000
3682,26000000
3684,26000000
3685,26000000
3686,26000000
3688,26000000
3696,26000000
3699,26000000
3712,26000000
3717,26000000
3724,26000000
3728,26000000
3730,26000000
3736,26000000
3741,26000000
3742,26000000
3745,26000000
3749,26000000
3761,26000000
3763,26000000
3764,26000000
3766,26000000
3769,26000000
3796,26000000
3797,26000000
3799,26000000
3825,26000000
3829,26000000
3832,26000000
3838,26000000
3844,26000000
3853,26000000
3857,26000000
3869,26000000
3871,26000000
3872,26000000
3874,26000000
3885,26000000
3891,26000000
3897,26000000
3900,26000000
3918,26000000
3921,26000000
3925,26000000
3934,26000000
3935,26000000
3936,26000000
3938,26000000
3947,26000000
3949,26000000
3952,26000000
3962,26000000
3964,26000000
3968,26000000
3973,26000000
3989,26000000
3997,26000000
4004,26000000
4005,26000000
4006,26000000
4050,26000000
4051,26000000
4060,26000000
4065,26000000
4069,26000000
4073,26000000
4091,26000000
4095,26000000
4100,26000000
4105,26000000
4113,26000000
4114,26000000
4127,26000000
4129,26000000
4130,26000000
4133,26000000
4137,26000000
4139,26000000
4140,26000000
4143,26000000
4144,26000000
4145,26000000
4150,26000000
4169,26000000
4172,26000000
4181,26000000
4191,26000000
4206,26000000
4207,26000000
4208,26000000
4213,26000000
4214,26000000
4215,26000000
4221,26000000
4234,26000000
4237,26000000
4255,26000000
4283,26000000
4285,26000000
4290,26000000
4291,26000000
4293,26000000
4299,26000000
4309,26000000
42,26000001
67,26000001
126,26000001
159,26000001
163,26000001
164,26000001
178,26000001
193,26000001
200,26000001
210,26000001
243,26000001
255,26000001
258,26000001
276,26000001
281,26000001
293,26000001
300,26000001
310,26000001
316,26000001
319,26000001
339,26000001
345,26000001
348,26000001
356,26000001
372,26000001
382,26000001
391,26000001
392,26000001
437,26000001
447,26000001
448,26000001
460,26000001
487,26000001
488,26000001
503,26000001
511,26000001
513,26000001
518,26000001
525,26000001
529,26000001
535,26000001
539,26000001
578,26000001
590,26000001
593,26000001
627,26000001
641,26000001
647,26000001
704,26000001
725,26000001
750,26000001
752,26000001
772,26000001
774,26000001
777,26000001
780,26000001
783,26000001
791,26000001
798,26000001
811,26000001
853,26000001
858,26000001
867,26000001
965,26000001
972,26000001
998,26000001
1005,26000001
1010,26000001
1019,26000001
1023,26000001
1035,26000001
1060,26000001
1065,26000001
1097,26000001
1136,26000001
1162,26000001
1175,26000001
1180,26000001
1183,26000001
1201,26000001
1245,26000001
1262,26000001
1264,26000001
1267,26000001
1279,26000001
1282,26000001
1295,26000001
1296,26000001
1346,26000001
1381,26000001
1385,26000001
1387,26000001
1408,26000001
1412,26000001
1423,26000001
1430,26000001
1489,26000001
1498,26000001
1507,26000001
1517,26000001
1531,26000001
1532,26000001
1550,26000001
1552,26000001
1575,26000001
1580,26000001
1591,26000001
1608,26000001
1622,26000001
1642,26000001
1673,26000001
1676,26000001
1680,26000001
1685,26000001
1714,26000001
1715,26000001
1728,26000001
1748,26000001
1756,26000001
1765,26000001
1770,26000001
1774,26000001
1783,26000001
1824,26000001
1826,26000001
1870,26000001
1882,26000001
1920,26000001
1931,26000001
1940,26000001
1972,26000001
1993,26000001
2009,26000001
2011,26000001
2051,26000001
2052,26000001
2053,26000001
2105,26000001
2107,26000001
2109,26000001
2111,26000001
2119,26000001
2122,26000001
2146,26000001
2148,26000001
2193,26000001
2213,26000001
2226,26000001
2249,26000001
2251,26000001
2257,26000001
2261,26000001
2273,26000001
2275,26000001
2289,26000001
2298,26000001
2316,26000001
2318,26000001
2390,26000001
2399,26000001
2409,26000001
2416,26000001
2417,26000001
2432,26000001
2450,26000001
2526,26000001
2534,26000001
2551,26000001
2572,26000001
2576,26000001
2584,26000001
2607,26000001
2612,26000001
2617,26000001
2625,26000001
2631,26000001
2635,26000001
2652,26000001
2673,26000001
2674,26000001
2678,26000001
2684,26000001
2713,26000001
2715,26000001
2722,26000001
2723,26000001
2750,26000001
2800,26000001
2818,26000001
2837,26000001
2845,26000001
2848,26000001
2857,26000001
2881,26000001
2884,26000001
2886,26000001
2903,26000001
2928,26000001
2940,26000001
2977,26000001
2993,26000001
3005,26000001
3028,26000001
3045,26000001
3047,26000001
3071,26000001
3081,26000001
3089,26000001
3102,26000001
3122,26000001
3131,26000001
3147,26000001
3167,26000001
3173,26000001
3202,26000001
3210,26000001
3215,26000001
3224,26000001
3244,26000001
3269,26000001
3272,26000001
3275,26000001
3279,26000001
