battle_id,battle_type,game_mode,arena_name,is_ladder
0a20c9f91b53d916647c4dcb5029eb59,tournament,TripleElixir_Tournament,P.E.K.K.A's Playhouse,0
0a21204d8013c410eba841a644d54145,tournament,PickMode,Barbarian Bowl,0
0a52010ef6b203f66678cb930ef1e572,tournament,TripleElixir_Tournament,Lumberlove Cabin,0
0a54090dab579d7dd2369d86d0fa8c40,tournament,DraftMode,Hog Mountain,0
0a73aa3e833f61ee39a36d36a3bb53a2,boatBattle,ClanWar_BoatBattle,Legendary Arena,0
0a91acf2867cb7f611b01ce4b1a6d755,PvP,Ladder,Royal Arena,1
0acb8ab5ab06bb5d2e28da40bd07da03,tournament,TripleElixir_Tournament,Jungle Arena,0
0ad5383b0d4dc76f4f57186ebd4fd50c,trail,Challenge_AllCards_EventDeck_NoSet,Legendary Arena,0
0af5aec236c40ab331ab0d140c94e72c,PvP,Ladder,Miner's Mine,1
0af7764278b3ef8e0932ffcedb2b1a97,friendly,Friendly,Miner's Mine,0
0b4836d99526819fb10298672d7be6e2,friendly,MirrorDeck_Friendly,Legendary Arena,0
0b5d76e65278b94cf2760c544cec8d07,tournament,TripleElixir_Tournament,PANCAKES!,0
0b62e29184cbdda69ce8013be6778df8,tournament,Draft_Competitive,Miner's Mine,0
0b773aa32a7a223a10f178952150599e,PvP,Ladder,Dragon Spa,1
0b97128ac1ef2c78f5e3c6009cd672d1,PvP,Ladder,Executioner's Kitchen,1
0b9df16f2dc35c8c75c17199b7eabbf4,tournament,Draft_Competitive,Hog Mountain,0
0ba98f1556daba830e269be09671cff4,tournament,Draft_Competitive,Jungle Arena,0
0bacdd3aa50e6e7d2b6bf2365ad3d3b0,clanMate,DraftMode,Legendary Arena,0
0bbb020f53ef5ffaf5f96b0f83ebfc84,riverRacePvP,CW_Battle_1v1,Lumberlove Cabin,0
0bbb3b7415326fac997c5022387a5050,PvP,Ladder,Spooky Town,1
0bbf502409a5b7e41a72b2595cb840ff,trail,TeamVsTeam,Legendary Arena,0
0bcf375f941d13fb2b4e87cbd5001fb8,tournament,Draft_Competitive,Miner's Mine,0
0bd05730c66edb207115e4af62563ee5,PvP,Ladder,Lumberlove Cabin,1
0bd923e03bbd5fad06eca7df79f62ff9,tournament,DraftModeInsane,Royal Crypt,0
0bdd19006eeee35c538102a8b6125b52,PvP,Ladder,Royal Crypt,1
0bf37c81ecbd8d0b435d1c98b71afcd8,tournament,DraftMode,PANCAKES!,0
0c00644108266450aef985d07249d22c,trail,Showdown_Friendly,Legendary Arena,0
0c21a4a2bbbb98243597a5a6abaf243e,tournament,DraftModeInsane,Electro Valley,0
0c4f75ff9aebf2fce6ad4c20d54b2edb,trail,Showdown_Friendly,Legendary Arena,0
0c73237d22cf5f2ed24ec410dd77e3c9,PvP,Ladder,Spooky Town,1
0c80afac0d35a8214423566fb7320a2d,PvP,Ladder,Royal Arena,1
0c816bc8cebc08f50684ae437462b0e9,tournament,DraftMode,Goblin Stadium,0
0c8c2d735f974d8dcc4df10e61169d6a,PvP,Ladder,Clash Fest,1
0ca4700d1dd1af6420a4fc546882e839,tournament,TripleElixir_Tournament,Dragon Spa,0
0ccdfb9a9815a3acd48b456c6f5d5810,PvP,Ladder,Lumberlove Cabin,1
0cd387394d523d2e16263293f0eb196e,tournament,Tournament,Executioner's Kitchen,0
0d0323a40010050d48cd6ebd5e7d7db0,friendly,Friendly,Valkalla,0
0d427f66ba9ecce3a0d4a11741103b09,PvP,Ladder,Lumberlove Cabin,1
0d4c989def66b461501787415cda2d11,friendly,Friendly,Clash Fest,0
0d508b21a9b0e627145c3e221d6405a0,trail,TeamVsTeam,Legendary Arena,0
0d757b3164541391ab2c0ffaec5bcf8d,boatBattle,ClanWar_BoatBattle,Legendary Arena,0
0d93952c372b865ff31dec893eb9eec6,PvP,Ladder,Dragon Spa,1
0db12b70f2d504ff527b857ab36f2d08,tournament,TripleElixir_Tournament,Valkalla,0
0dc56fb5de88bbcfe8656d757163465c,PvP,Ladder,Lumberlove Cabin,1
0de22ad5482824dffd7fa6fdaf2be905,boatBattle,ClanWar_BoatBattle,Legendary Arena,0
0de7d0fb562fb972d695204639154915,tournament,TripleElixir_Tournament,Goblin Stadium,0
0df83088236bba9c4c4e690cb84ca73e,clanMate,DraftMode,Legendary Arena,0
0dfb590f056012894d4198ab9719f104,clanMate2v2,TeamVsTeam,Legendary Arena,0
0e0de7087f4710b3e713866181160480,trail,TeamVsTeam,Legendary Arena,0
0e23f08df8e42bdd3038bd311987da8c,tournament,TripleElixir_Tournament,Frozen Peak,0
0e375e6aa5565d0793b6fe130f6b2f16,boatBattle,ClanWar_BoatBattle,Legendary Arena,0
0e38a26395a7f8fcce91707853b91f34,PvP,Ladder,Royal Crypt,1
0e46134069901563a2df96e054a0df3e,trail,Ladder,Seasonal Arena 5,0
0e6ddd7f2fe76c7db04292c34d4a5263,trail,Ladder,Seasonal Arena 1,0
0e78fccdc7ff300e970a224c6c441271,boatBattle,ClanWar_BoatBattle,Legendary Arena,0
0e853ff8be8900351106e667be5e5e80,PvP,Ladder,Lumberlove Cabin,1
0e8ab794e3958c9cc16fc7a86265c33a,pathOfLegend,Ranked1v1_NewArena,Legendary Arena,0
0edbeb49138b9844522737b3ee5684b0,tournament,DraftMode,Boot Camp,0
0ef6b1d63077d04550b7a113b982ff0b,tournament,DraftMode,Hog Mountain,0
0efaf5ee72c6470b72fbed3c0e7770cd,tournament,TripleElixir_Tournament,Valkalla,0
0f0a4716883048e80c3b0e800ac03660,trail,Showdown_Friendly,Legendary Arena,0
0f1db6696830ac3e37e4b84fb9a4b02a,PvP,Ladder,Legendary Arena,1
0f3347a5c9439849d22430856b27170e,tournament,TripleElixir_Tournament,Royal Arena,0
0f3a71e9752f8a52ede957af6002a96c,tournament,Draft_Competitive,Goblin Stadium,0
0f3bb72b32a9857dd68bc5619a8c235e,trail,PickMode,Legendary Arena,0
0f5be64c5b630d88162b7cfed14e7c0e,boatBattle,ClanWar_BoatBattle,Legendary Arena,0
0f6fa1c4024c9a11cadc66f1c2a7c33c,tournament,TripleElixir_Tournament,Electro Valley,0
0fa67f176fa16a292542eaf278b4f6fd,PvP,Ladder,Electro Valley,1
0fc9ad34d522114f1aaed32bd2fe877c,tournament,PickMode,Miner's Mine,0
0fdd71f6ad4acbf0da6a39c3581d71c0,tournament,TripleElixir_Tournament,Electro Valley,0
0fe587c437965b1ff9892008e5ad7bea,PvP,Ladder,Lumberlove Cabin,1
100a49adcac90726f04df324c61b66c2,tournament,Draft_Competitive,Barbarian Bowl,0
100de0291f81dc511a5c8133a5eeb2ad,PvP,Ladder,Lumberlove Cabin,1
101d598f7564215bbc916d005ce00b2b,PvP,Ladder,Lumberlove Cabin,1
1035c430cc366a3efc0f86b523ef3879,tournament,TripleElixir_Tournament,Bone Pit,0
10534696c115d720a6b499a5d1021b09,riverRacePvP,TripleElixir_Ladder,Lumberlove Cabin,0
10893aa90753b0dd3e554f81ad9932e3,tournament,Draft_Competitive,Barbarian Bowl,0
1091b358e9e8b2dfea94aacc83eae241,boatBattle,ClanWar_BoatBattle,Legendary Arena,0
10a58e165e9d357049166da248ed0cc5,tournament,DraftMode,Goblin Stadium,0
10abff677313cd09fb025655e1fbf8e5,PvP,Ladder,Lumberlove Cabin,1
10ac9f929f9190b96005bfb542262bdc,trail,TeamVsTeam,Legendary Arena,0
10b81da99ae6db2696375844f89a18cb,PvP,Ladder,Royal Crypt,1
10bfb26e7ce94b4634df60adb42def13,PvP,Ladder,Valkalla,1
113169ecc560cd8a868963e8b9e49983,friendly,Friendly,Valkalla,0
11547ef705528ffa114f7905bd9f5cc6,PvP,Ladder,Royal Crypt,1
116905889ba6774e4f865b4f7f715286,PvP,Ladder,Executioner's Kitchen,1
1171f15ee2ccf6e7e34986315cb2a347,PvP,Ladder,Legendary Arena,1
11726e6d5f47b438289af57587de489e,tournament,Draft_Competitive,Royal Arena,0
1187afe1c2bb6623927f1f8ee600f7f5,trail,Ladder,Seasonal Arena 5,0
11c0c2f019ecd3ac8e6ebe6db863e98d,PvP,Ladder,Legendary Arena,1
11cd0eae73c17e3304c5fac991aaa204,tournament,DraftMode,Miner's Mine,0
11d40dfc97a82864e394cd28ddc36c3a,trail,Showdown_Friendly,Legendary Arena,0
11d475512959a6aa110547e9868bc8f5,trail,TeamVsTeam,Legendary Arena,0
11e544401d9e53a5bd25ac01e44be427,tournament,DraftModeInsane,Bone Pit,0
11ef18f9c33c8bb3d4fef4117e7a0c26,tournament,Tournament,PANCAKES!,0
