snapshot_id,deck_id,games_played,games_won,win_rate,pick_rate
1,2069,1,1,100.00,0.06
1,2070,3,0,0.00,0.18
1,2071,1,1,100.00,0.06
1,2074,1,1,100.00,0.06
1,2075,1,1,100.00,0.06
1,2076,1,1,100.00,0.06
1,2092,1,0,0.00,0.06
1,2093,1,1,100.00,0.06
1,2094,1,0,0.00,0.06
1,2095,1,0,0.00,0.06
1,2096,1,1,100.00,0.06
1,2097,1,1,100.00,0.06
1,2098,1,0,0.00,0.06
1,2099,1,0,0.00,0.06
1,2100,1,1,100.00,0.06
1,2101,1,1,100.00,0.06
1,2102,1,0,0.00,0.06
1,2103,1,0,0.00,0.06
1,2104,1,0,0.00,0.06
1,2105,1,1,100.00,0.06
1,2108,1,0,0.00,0.06
1,2109,1,1,100.00,0.06
1,2110,1,0,0.00,0.06
1,2111,1,1,100.00,0.06
1,2112,4,1,25.00,0.24
1,2113,1,1,100.00,0.06
1,2114,1,1,100.00,0.06
1,2115,1,0,0.00,0.06
1,2116,1,1,100.00,0.06
1,2117,1,1,100.00,0.06
1,2124,1,1,100.00,0.06
1,2125,1,0,0.00,0.06
1,2127,1,1,100.00,0.06
1,2179,1,0,0.00,0.06
1,2218,1,0,0.00,0.06
1,2230,1,0,0.00,0.06
1,2231,1,0,0.00,0.06
1,2251,1,1,100.00,0.06
1,2252,1,0,0.00,0.06
1,2259,1,0,0.00,0.06
1,2260,1,0,0.00,0.06
1,2261,1,1,100.00,0.06
1,2262,1,1,100.00,0.06
1,2263,1,0,0.00,0.06
1,2264,1,0,0.00,0.06
1,2265,1,1,100.00,0.06
1,2266,1,0,0.00,0.06
1,2267,1,0,0.00,0.06
1,2268,1,1,100.00,0.06
1,2269,1,1,100.00,0.06
1,2270,1,0,0.00,0.06
1,2271,1,0,0.00,0.06
1,2272,1,1,100.00,0.06
1,2277,1,0,0.00,0.06
1,2278,1,0,0.00,0.06
1,2279,1,0,0.00,0.06
1,2281,1,0,0.00,0.06
1,2305,1,1,100.00,0.06
1,2339,1,1,100.00,0.06
1,2340,1,1,100.00,0.06
1,2341,1,0,0.00,0.06
1,2342,1,1,100.00,0.06
1,2343,1,0,0.00,0.06
1,2344,1,0,0.00,0.06
1,2345,1,1,100.00,0.06
1,2346,1,1,100.00,0.06
1,2347,1,0,0.00,0.06
1,2348,1,1,100.00,0.06
1,2349,2,1,50.00,0.12
1,2350,1,0,0.00,0.06
1,2351,1,0,0.00,0.06
1,2352,2,1,50.00,0.12
1,2353,1,0,0.00,0.06
1,2354,1,0,0.00,0.06
