battle_id,team_side,player_tag,deck_id,starting_trophies,trophy_change,crowns,is_winner
02e5d06cfd4846f7f6baf5cccdc9d03b,1,#82UL9QQVR,3134,10051,,0,0
02f008e2b66c84b6a3dc868ef0a9b13a,0,#28UJ0PGPJ,2498,10,1,1,1
02f008e2b66c84b6a3dc868ef0a9b13a,1,#CUYJVUPRP,2499,,,0,0
03010487e2c9c8b4cb29cd07e269c8c9,0,#PPLQ8GVVG,3883,8097,29,1,1
03010487e2c9c8b4cb29cd07e269c8c9,1,#UL02C8LQC,3887,8096,-29,0,0
03351bc32ce952756d5a986f2c4f5972,0,#LJRYYYGLG,1501,,,0,0
03351bc32ce952756d5a986f2c4f5972,1,#9RCPP0V9Q,1502,2,1,1,1
0352ac553a6e8f24b06964362368158f,0,#PY0UP9GR8,1750,1,,0,0
0352ac553a6e8f24b06964362368158f,1,#CYQL82CLC,1751,1,1,3,1
0394f022f45fa465102b2f71caa1f228,0,#902PCG9V2,1581,14,,0,0
0394f022f45fa465102b2f71caa1f228,1,#Y90L9QRY2,1582,7,1,1,1
03bd1aa26eb69dbc1d9ce9042171deeb,0,#LQLY9PUQC,4084,,1,1,1
03bd1aa26eb69dbc1d9ce9042171deeb,1,#PQU0YGQ2U,4085,6,,0,0
03c12255072258c5daef010fe898ca72,0,#2RGVLCY90,3806,2,1,2,1
03c12255072258c5daef010fe898ca72,1,#VURJPVVJJ,3807,,,1,0
03c6203754f20c6f22f925d225aa16a2,0,#8PURYVPQL,,,,0,0
03c6203754f20c6f22f925d225aa16a2,1,#L99ULRJ,2855,8180,,3,1
03c6661b3e30d01a4e1f69cea3e44e9c,0,#P8R0QGPCU,260,10417,27,1,1
03c6661b3e30d01a4e1f69cea3e44e9c,1,#2UPRY0UUG,904,10391,-27,0,0
03cea57d165b4518bd6c022356001fb1,0,#UV9L0C9LR,1450,7153,,3,1
03cea57d165b4518bd6c022356001fb1,1,#8C0Y02RUY,,,,0,0
03e34f64e0687b9a07c023233cecc71e,0,#2P2Q99G9C,2293,7,,1,0
03e34f64e0687b9a07c023233cecc71e,1,#U929YL80,4014,9,1,3,1
043078d2b1b8016f46695311d73f0c34,0,#Y8CYUUPRL,378,9122,30,2,1
043078d2b1b8016f46695311d73f0c34,1,#200GYQY890,4147,9122,-30,0,0
044a8e58127b88d366bd3f586405ae95,0,#20YUJLVP8C,756,4,,0,0
044a8e58127b88d366bd3f586405ae95,1,#QGCQLPV2V,757,7,1,1,1
044f4c0ea7ee0086a26b72f8d642bbb4,0,#UJ2CCYJ9L,,,,0,0
044f4c0ea7ee0086a26b72f8d642bbb4,1,#2RY9U0280,960,10000,,3,1
0471ce84ada80c6d5bc270545bdb146c,0,#2RGVLCY90,3777,5,1,3,1
0471ce84ada80c6d5bc270545bdb146c,1,#9RJ8PY2UY,3778,5,,0,0
0481ee35671da964365ff6581c015d42,0,#8902Y88LG,2431,,1,3,1
0481ee35671da964365ff6581c015d42,1,#RPQJCQ29P,2432,,,0,0
048c1c684dad3f9dc54e5ad0f11f2786,0,#RQQLUUG99,163,6136,31,1,1
048c1c684dad3f9dc54e5ad0f11f2786,1,#908V82GP2,3755,6150,-31,0,0
04a0ece8e6ae5d3f053fc8d5e84f165b,0,#J0Y92RQG8,1536,,,0,0
04a0ece8e6ae5d3f053fc8d5e84f165b,1,#PQU0YGQ2U,1537,5,1,3,1
04bfd1d06a3fad42a3e87679613a45b3,0,#CG289JR,103,4,,1,0
04bfd1d06a3fad42a3e87679613a45b3,1,#YJPJUG8L,2302,7,1,2,1
